"College","CDS_loc","Name_Table_Loc"
"Providence College","cds_cleaned/academic-affairs.providence.edu_wp-content_uploads_sites_14_2023_03_cds-2022-23.pdf","data_tables/name_tables/providence_college.csv"
"FAILED","cds_cleaned/academicaffairs.sonoma.edu_sites_academicaffairs_files_academic_affairs_annual_report.pdf","DNE"
"FAILED","cds_cleaned/academics.iusb.edu_images_academic-affairs_gened-report-2122.pdf","DNE"
"University of California - Davis","cds_cleaned/aggiedata.ucdavis.edu_sites_g_files_dgvnsk1841_files_media_documents_CDS_2020-2021_Davis.pdf","data_tables/name_tables/university_of_california_-_davis.csv"
"FAILED","cds_cleaned/aire.ku.edu_sites_air_files_files_CDS_KUCDS_2022_2023.pdf","DNE"
"FAILED","cds_cleaned/anderson.edu_wp-content_uploads_22-23GraduateCatalog.pdf","DNE"
"FAILED","cds_cleaned/apps.weber.edu_wsuimages_financialservices_Common%20Data%20Set_2022-23.pdf","DNE"
"FALSE","cds_cleaned/asir.sdsu.edu_Documents_CommonDataSets_CDS_2022-23_rev_1.pdf","data_tables/name_tables/false.csv"
"Aurora University","cds_cleaned/aurora.edu_documents_about_cds-2022-2023.pdf","data_tables/name_tables/aurora_university.csv"
"Barnard College","cds_cleaned/barnard.edu_sites_default_files_inline-files_CDS_2020-2021_FINAL_Barnard_20210625.pdf","data_tables/name_tables/barnard_college.csv"
"Bowie State University","cds_cleaned/bowiestate.edu_about_administration-and-governance_division-of-academic-affairs_office-of-planning-analysis-analysis-and-accountability_cds_2022_2023.pdf","data_tables/name_tables/bowie_state_university.csv"
"University of Connecticut","cds_cleaned/bpir.uconn.edu_wp-content_uploads_sites_3452_2022_09_CDS_2021-2022_UConn_Website.pdf","data_tables/name_tables/university_of_connecticut.csv"
"University of Connecticut","cds_cleaned/bpir.uconn.edu_wp-content_uploads_sites_3452_2023_07_CDS_2022_2023_Website.pdf","data_tables/name_tables/university_of_connecticut.csv"
"FAILED","cds_cleaned/business.missouri.edu_sites_default_files_2023-06_MgmtMatters_2022.pdf","DNE"
"FAILED","cds_cleaned/calhoun.edu_wp-content_uploads_2023_06_202223-catalog-6-9-23.pdf","DNE"
