"College","Priority","Weight"
"Agnes Scott College","Rigor of secondary school record",52
"Agnes Scott College","Class rank",92
"Agnes Scott College","Academic GPA",50
"Agnes Scott College","Standardized test scores",92
"Agnes Scott College","Application Essay",74
"Agnes Scott College","Recommendation(s)",74
"Agnes Scott College","Interview",92
"Agnes Scott College","Extracurricular activities",74
"Agnes Scott College","Talent/ability",74
"Agnes Scott College","Character/personal qualities",92
"Agnes Scott College","First generation",92
"Agnes Scott College","Alumni/ae relation",92
"Agnes Scott College","Geographical residence",92
"Agnes Scott College","State residency",92
"Agnes Scott College","Religious affiliation/commitment",110
"Agnes Scott College","Racial/ethnic status",110
"Agnes Scott College","Volunteer work",74
"Agnes Scott College","Work experience",92
"Agnes Scott College","Level of applicant’s interest",92
"American University","Rigor of secondary school record",47
"American University","Class rank",104
"American University","Academic GPA",45
"American University","Standardized test scores",85
"American University","Application Essay",66
"American University","Recommendation(s)",66
"American University","Interview",104
"American University","Extracurricular activities",66
"American University","Talent/ability",66
"American University","Character/personal qualities",66
"American University","First generation",85
"American University","Alumni/ae relation",104
"American University","Geographical residence",85
"American University","State residency",104
"American University","Religious affiliation/commitment",104
"American University","Racial/ethnic status",85
"American University","Volunteer work",66
"American University","Work experience",85
"American University","Level of applicant’s interest",47
"Arizona State University Campus Immersion","Rigor of secondary school record",88
"Arizona State University Campus Immersion","Class rank",70
"Arizona State University Campus Immersion","Academic GPA",70
"Arizona State University Campus Immersion","Standardized test scores",126
"Arizona State University Campus Immersion","Application Essay",126
"Arizona State University Campus Immersion","Recommendation(s)",126
"Arizona State University Campus Immersion","Interview",126
"Arizona State University Campus Immersion","Extracurricular activities",126
"Arizona State University Campus Immersion","Talent/ability",126
"Arizona State University Campus Immersion","Character/personal qualities",126
"Arizona State University Campus Immersion","First generation",126
"Arizona State University Campus Immersion","Alumni/ae relation",126
"Arizona State University Campus Immersion","Geographical residence",126
"Arizona State University Campus Immersion","State residency",107
"Arizona State University Campus Immersion","Religious affiliation/commitment",126
"Arizona State University Campus Immersion","Racial/ethnic status",126
"Arizona State University Campus Immersion","Volunteer work",126
"Arizona State University Campus Immersion","Work experience",126
"Arizona State University Campus Immersion","Level of applicant’s interest",126
"Arkansas Tech University","Rigor of secondary school record",71
"Arkansas Tech University","Class rank",109
"Arkansas Tech University","Academic GPA",52
"Arkansas Tech University","Standardized test scores",52
"Arkansas Tech University","Application Essay",109
"Arkansas Tech University","Recommendation(s)",109
"Arkansas Tech University","Interview",109
"Arkansas Tech University","Extracurricular activities",109
"Arkansas Tech University","Talent/ability",109
"Arkansas Tech University","Character/personal qualities",109
"Arkansas Tech University","First generation",109
"Arkansas Tech University","Alumni/ae relation",109
"Arkansas Tech University","Geographical residence",109
"Arkansas Tech University","State residency",109
"Arkansas Tech University","Religious affiliation/commitment",109
"Arkansas Tech University","Racial/ethnic status",109
"Arkansas Tech University","Volunteer work",109
"Arkansas Tech University","Work experience",109
"Arkansas Tech University","Level of applicant’s interest",109
"Aurora University","Rigor of secondary school record",44
"Aurora University","Class rank",97
"Aurora University","Academic GPA",44
"Aurora University","Standardized test scores",79
"Aurora University","Application Essay",79
"Aurora University","Recommendation(s)",79
"Aurora University","Interview",79
