"Val_Type","Val"
"Name","Amy Sonke"
"Title","Data and Reporting Analyst"
"Office","Institutional Analysis"
"Mailing Address","P.O. Box 875304"
"City/State/Zip/Country","Tempe, AZ 85287-5304"
"Phone","(480) 965-2318"
"Fax","(480) 965-1559"
"E-mail Address","Amy.Sonke@asu.edu"
"https","//uoia.asu.edu/content/common-data-set"
"Name of College/University","Arizona State University Campus Immersion"
"Mailing Address","P.O. Box 871004"
"City/State/Zip/Country","Tempe, AZ 85287-1004"
"Street Address (if different)","University Drive & Mill Avenue"
"City/State/Zip/Country","Tempe, AZ 85287"
"Main Phone Number","(855) 278-5080"
"WWW Home Page Address","www.asu.edu"
"Admissions Phone Number","(480) 965-7788"
"Admissions Office Mailing Address","P.O. Box 871004"
"City/State/Zip/Country","Tempe, AZ 85287-1004"
"Admissions Fax Number","(480) 965-3610"
"Admissions E-mail Address","admissions@asu.edu"
"https","//webapp4.asu.edu/uga_admissionsapp/"
