"Val_Type","Val"
"Name","Rachel Bourizk"
"Title","Business Intelligence Developer"
"Office","Office of Institutional Reporting & Data Analytics"
"Mailing Address","800 Linden Street"
"City/State/Zip/Country","Scranton, PA 18510-4699"
"Phone","570-941-7693"
"Fax","570-941-6653"
"E-mail Address","institutionalresearch@scranton.edu"
"http","//www.scranton.edu/pir/institutional-research/institutional-research-reports/institutional-research-"
"Name of College/University","The University of Scranton"
"Mailing Address","800 Linden Street"
"City/State/Zip/Country","Scranton, PA 18510-4699"
"Main Phone Number","570-941-7400"
"WWW Home Page Address","www.scranton.edu"
"Admissions Phone Number","570-941-7540"
"Admissions Toll-Free Phone Number","1-888-SCRANTON"
"Admissions Office Mailing Address","800 Linden Street"
"City/State/Zip/Country","Scranton, PA 18510-4699"
"Admissions Fax Number","570-941-5928"
"Admissions E-mail Address","admissions@scranton.edu"
"https","//www.scranton.edu/apply"
