"Val_Type","Val"
"Name","Danny Ma"
"Title","Data Analyst"
"Office","Analysis and Information Management"
"Mailing Address","11200 SW 8th Street - PC543"
"City/State/Zip/Country","Miami, Florida, 33199"
"Phone","305-348-2731"
"Fax","305-348-1008"
"E-mail Address","opiework@fiu.edu"
"https","//aim.fiu.edu/"
"Name of College/University","FLORIDA INTERNATIONAL UNIVERSITY"
"Mailing Address","11200 SW 8th Street"
"City/State/Zip/Country","Miami, Florida, 33199"
"Main Phone Number","305-348-2000"
"WWW Home Page Address","WWW.FIU.EDU"
"Admissions Phone Number","305-348-2000"
"Admissions Fax Number","305-348-3648"
"Admissions E-mail Address","ADMISS@FIU.EDU"
