"Val_Type","Val"
"Name","Liz Brenner"
"Title","Director of Research"
"Office","Academic Affairs"
"Mailing Address","610 King of Prussia Road"
"City/State/Zip/Country","Radnor, PA 10987, USA"
"Phone","610-902-8300"
"E-mail Address","eb7009@cabrini.edu"
"https","//www.cabrini.edu/about/departments/institutional-research/common-data-set"
"Name of College/University","Cabrini University"
"Mailing Address","610 King of Prussia Road"
"City/State/Zip/Country","Radnor, PA 19087, USA"
"Main Phone Number","610-902-8100"
"WWW Home Page Address","www.Cabrini.edu"
"Admissions Phone Number","610-902-8552"
"Admissions Toll-Free Phone Number","1-800-848-1003"
"Admissions Office Mailing Address","610 King of Prussia Road"
"City/State/Zip/Country","Radnor, PA 19087"
"Admissions E-mail Address","admit@cabrini.edu"
"https","//www.cabrini.edu/apply"
