"Val_Type","Val"
"Name","Emily Shipley"
"Title","Director of Institutional Research"
"Office","Office of Institutional Research"
"Mailing Address","3800 Victory Parkway"
"City/State/Zip/Country","Cincinnati, Ohio 45207 -5311, USA"
"Phone","513-745-4858"
"E-mail Address","shipleye1@xavier.edu"
"Name of College/University","Xavier University"
"Mailing Address","3800 Victory Parkway"
"City/State/Zip/Country","Cincinnati, Ohio 45207-5311, USA"
"Main Phone Number","800-344-4698"
"WWW Home Page Address","www.xavier.edu"
"Admissions Phone Number","513-745-3301"
"Admissions Toll-Free Phone Number","877-982-3648"
"Admissions Office Mailing Address","3800 Victory Parkway"
"City/State/Zip/Country","Cincinnati, Ohio, 45207-5311, USA"
"Admissions Fax Number","513-745-4319"
"Admissions E-mail Address","xuadmit@xavier.edu"
