"Val_Type","Val"
"Name","Mr. Gregory Johnson"
"Title","Interim Chief Data Officer"
"Office","Office of Planning, Research and Assessment"
"Mailing Address","8600 University Blvd."
"City/State/Zip/Country","Evansville, IN 47712 USA"
"Phone","812465-7000"
"Fax","812-464-1956"
"E-mail Address","opra@usi.edu"
"https","//www.usi.edu/planning-research-and-assessment/institutional-data/common-data-set/"
"Name of College/University","University of Southern Indiana"
"Mailing Address","8600 University Blvd."
"City/State/Zip/Country","Evansville, IN 47712 USA"
"Main Phone Number","812-464-8600"
"WWW Home Page Address","www.usi.edu"
"Admissions Phone Number","812-464-1765"
"Admissions Toll-Free Phone Number","800-467-1965"
"Admissions Office Mailing Address","8600 University Blvd."
"City/State/Zip/Country","Evansville, IN 47712 USA"
"Admissions Fax Number","812-465-7154"
"Admissions E-mail Address","enroll@usi.edu"
"https","//apply.usi.edu/"
