"Val_Type","Val"
"Name","Margot Neverett"
"Title","Senior Resarch Associate"
"Office","IPAR"
"Mailing Address","Mailstop 112 East Carolina University"
"City/State/Zip/Country","Greenville, NC 27858 USA"
"Phone","(252) 328-9499"
"Fax","(252) 737-2768"
"E-mail Address","neverettm@ecu.edu"
"https","//ipar.ecu.edu/research/rsrch-public-ecu-data/"
"Name of College/University","East Carolina University"
"Mailing Address","East 5th Street"
"City/State/Zip/Country","Greenville, NC 27858-4353"
"Main Phone Number","252-328-6131"
"WWW Home Page Address","www.ecu.edu"
"Admissions Phone Number","252-328-6640"
"Admissions Fax Number","252-737-1192"
"Admissions E-mail Address","admissions@ecu.edu"
"https","//admissions.ecu.edu/apply/freshmen/"
