"Val_Type","Val"
"Name","Bianca Tenney"
"Title","Data Scientist"
"Office","Georgia Tech/Institutional Research & Planning"
"Mailing Address","221 Uncle Heinie Way, Suite 211, Lyman Hall"
"City/State/Zip/Country","Atlanta, GA 30332-0530 USA"
"Phone","404-894-3311"
"Fax","404-894-0032"
"E-mail Address","requests@irp.gatech.edu"
"http","//irp.gatech.edu/common-data-set"
"Name of College/University","Georgia Institute of Technology"
"Mailing Address","711 Marietta Street NW"
"City/State/Zip/Country","Atlanta, GA 30332-0450 USA"
"Street Address (if different)","North Avenue"
"City/State/Zip/Country","Atlanta, GA 30332 USA"
"Main Phone Number","404-894-2000"
"WWW Home Page Address","https//www.gatech.edu"
"Admissions Phone Number","404-894-4154"
"Admissions Office Mailing Address","219 Uncle Heinie Way"
"City/State/Zip/Country","Atlanta, GA 30332-0320 USA"
"Admissions E-mail Address","admission@gatech.edu"
"http","//www.admission.gatech.edu/apply"
