"Val_Type","Val"
"Name","Melanie Sullivan"
"Title","Director"
"Office","Office of Institutional Research"
"Mailing Address","1 Cunningham Square"
"City/State/Zip/Country","Providence, RI 02918"
"Phone","401-865-2723"
"Fax","401-865-2482"
"E-mail Address","oir@providence.edu"
"https","//academic-affairs.providence.edu/institutional-effectiveness/campus-data/"
"Name of College/University","Providence College"
"Mailing Address","1 Cunningham Square"
"City/State/Zip/Country","Providence, RI 02918"
"Main Phone Number","401-865-1000"
"WWW Home Page Address","www.providence.edu"
"Admissions Phone Number","401-865-2535"
"Admissions Toll-Free Phone Number","1-800-721-6444"
"Admissions Office Mailing Address","1 Cunninghmam Square"
"City/State/Zip/Country","Providence, RI 02918"
"Admissions Fax Number","401-865-2826"
"Admissions E-mail Address","pcadmiss@providence.edu"
