"Val_Type","Val"
"Name","Theresa Harvey"
"Title","Research Analyst"
"Office","Institutional Research and Effectiveness"
"Mailing Address","9045 Lincoln Boulevard"
"City/State/Zip/Country","Los Angeles, CA, 90045, United States"
"E-mail Address","tharvey@otis.edu"
"https","//www.otis.edu/common-data-set"
"Name of College/University","Otis College of Art and Design"
"Mailing Address","9045 Lincoln Blvd, Los Angeles, CA 90045 US"
"City/State/Zip/Country","same as mailing address"
"Main Phone Number","310-668-6800"
"WWW Home Page Address","www.otis.edu"
"Admissions Phone Number","310-665-6820"
"Admissions Toll-Free Phone Number","800-527-6847"
"Admissions Office Mailing Address","9045 Lincoln Blvd, Los Angeles, CA 90045 US"
"City/State/Zip/Country","same as mailing address"
"Admissions Fax Number","310-665-6821"
"Admissions E-mail Address","admissions@otis.edu"
"https","//apply.commonapp.org/login?ma=898"
