"Val_Type","Val"
"Name","Jessica Ickes"
"Office","Institutional Research and Effectiveness"
"Mailing Address","150 West University Boulevard"
"City/State/Zip/Country","Melbourne / FL / 32901 / USA"
"Phone","(321) 674-7569"
"E-mail Address","jickes@fit.edu"
"Name of College/University","Florida Institute of Technology"
"Mailing Address","150 West University Boulevard"
"City/State/Zip/Country","Melbourne / Florida / 32901 / USA"
"Street Address (if different)","N/A"
"City/State/Zip/Country","N/A"
"Main Phone Number","(321) 674-8000"
"WWW Home Page Address","www.fit.edu"
"Admissions Phone Number","(321) 674-8030"
"Admissions Toll-Free Phone Number","(800) 888-4348"
"Admissions Office Mailing Address","150 West University Boulevard"
"City/State/Zip/Country","Melbourne / Florida / 32901 / USA"
"Admissions E-mail Address","admission@fit.edu"
