"Val_Type","Val"
"Name","Carol Geszvain"
"Title","Research Specialist"
"Office","Assessment & Institutional Research"
"Mailing Address","900 Viterbo Drive"
"City/State/Zip/Country","La Crosse, WI 54601"
"Phone","608-769-3485"
"E-mail Address","cjgeszvain@viterbo.edu"
"https","//www.viterbo.edu/institutional-research/common-data-set"
"Name of College/University","Viterbo University"
"Mailing Address","900 Viterbo Drive"
"City/State/Zip/Country","La Crosse, WI 54601"
"Main Phone Number","608-796-3000 or 1-800-Viterbo"
"WWW Home Page Address","https//www.viterbo.edu"
"Admissions Phone Number","608-796-3010"
"Admissions Toll-Free Phone Number","General toll-free 1-800-VITERBO"
"Admissions E-mail Address","Admissions@viterbo.edu"
"https","//viterbo.elluciancrmrecruit.com/Apply/Account/Login?ReturnUrl=%2fApply"
