"Val_Type","Val"
"Name","Amy C. Boczer"
"Title","Director"
"Office","Institutional Research"
"Mailing Address","1073 North Benson Road"
"City/State/Zip/Country","Fairfield, CT 06824 USA"
"Phone","203-254-4000"
"Fax","203-254-4291"
"E-mail Address","aboczer@fairfield.edu"
"https","//www.fairfield.edu/about-fairfield/leadership-offices/departments/institutional-research/"
"Name of College/University","Fairfield University"
"Mailing Address","1073 North Benson Road"
"City/State/Zip/Country","Fairfield, CT 06824 USA"
"Main Phone Number","203-254-4000"
"WWW Home Page Address","www.fairfield.edu"
"Admissions Phone Number","203-254-4100"
"Admissions Office Mailing Address","1073 North Benson Road"
"City/State/Zip/Country","Fairfield, CT 06824 USA"
"Admissions Fax Number","203-254-4199"
"Admissions E-mail Address","admis@fairfield.edu"
