"Val_Type","Val"
"Name","Melissa Leahy"
"Title","Director of Institutional Research"
"Office","Office of Strategic Initiatives & University Analytics"
"Mailing Address","100 Institute Road"
"Email","mml@wpi.edu"
"https","//www.wpi.edu/offices/institutional-research/data-resources"
"Name of College/University","Worcester Polytechnic Institute"
"Address","100 Institute Road"
"Main Phone","508-831-5000"
"Homepage","https//www.wpi.edu/"
"Admissions Address","Admissions Office"
"Admissions Phone","508-831-5286"
"Admissions Fax","508-831-5875"
"Admissions Email","admissions@wpi.edu"
"Online Application","https//www.wpi.edu/admissions/undergraduate/apply"
