"Val_Type","Val"
"Name","Ellenor Anderbyrne"
"Title","Director of Strategic Research and Assessment"
"Office","Planning"
"Mailing Address","700 College St."
"City/State/Zip/Country","Beloit, WI 53511"
"Phone","608-363-2014"
"E-mail Address","anderbyrneek@beloit.edu"
"https","//www.beloit.edu/offices/institutional-research-assessment-planning/key-metrics/"
"Name of College/University","Beloit College"
"Mailing Address","700 College St."
"City/State/Zip/Country","Beloit, WI 53511"
"Main Phone Number","608-363-2000"
"WWW Home Page Address","www.beloit.edu"
"Admissions E-mail Address","admissions@beloit.edu"
