"Val_Type","Val"
"Name","Jessica Kay"
"Title","Director of Institutional Research"
"Office","Institutional Research"
"Mailing Address","101 Vera King Farris Drive"
"City/State/Zip/Country","Galloway, NJ 08205"
"Phone","609-626-3513"
"E-mail Address","Jessica.Kay@stockton.edu"
"Name of College/University","Stockton University"
"Mailing Address","101 Vera King Farris Drive"
"City/State/Zip/Country","Galloway, NJ 08205 United States"
"Main Phone Number","609-652-1776"
"WWW Home Page Address","www.stockton.edu"
"Admissions Phone Number","609-652-4261"
"Admissions Office Mailing Address","101 Vera King Farris Drive"
"City/State/Zip/Country","Galloway, NJ 08205 United States"
"Admissions E-mail Address","admissions@stockton.edu"
"https","//www.stockton.edu/admissions/applications.html"
