"Val_Type","Val"
"Name","Adam Johnson"
"Title","Associate Director of Institutional Research"
"Office","Office of Institutional Research & Assessment"
"Mailing Address","1600 Grand Ave."
"City/State/Zip/Country","St. Paul, MN 55105"
"Phone","651.696.6411"
"E-mail Address","institutionalresearch@macalester.edu"
"https","//www.macalester.edu/ir/institutionaldata/"
"Name of College/University","Macalester College"
"Mailing Address","1600 Grand Avenue"
"City/State/Zip/Country","St. Paul, MN 55105"
"Main Phone Number","651-696-6000"
"WWW Home Page Address","www.macalester.edu/"
"Admissions Phone Number","651-696-6357"
"Admissions Toll-Free Phone Number","800-231-7974"
"Admissions Office Mailing Address","1600 Grand Avenue"
"City/State/Zip/Country","St. Paul, MN 55105"
"Admissions Fax Number","651-696-6724"
"Admissions E-mail Address","admissions@macalester.edu"
