"Val_Type","Val"
"Name","Bharathwaj Vijayakumar"
"Title","Senior Director of Institutional Research & Analytics"
"Office","Office of Institutional Research & Analytics"
"Mailing Address","201 Mullica Hill Road"
"City/State/Zip/Country","Glassboro, NJ, 08028, USA"
"Phone","856-256-5188"
"E-mail Address","vijayakumar@rowan.edu"
"https","//irt.rowan.edu/service-catalog/reporting/institutional/"
"Name of College/University","Rowan University"
"Mailing Address","201 Mullica Hill Road"
"City/State/Zip/Country","Glassboro, NJ, 08028, USA"
"Main Phone Number","856-256-4000"
"WWW Home Page Address","www.rowan.edu"
"Admissions Phone Number","856-256-4200"
"Admissions Toll-Free Phone Number","877-787-6926"
"Admissions Office Mailing Address","Savitz Hall 201 Mullica Hill Road"
"City/State/Zip/Country","Glassboro, NJ 08028, USA"
"Admissions Fax Number","856-256-4430"
"Admissions E-mail Address","admissions@rowan.edu"
"https","//admissions.rowan.edu/apply.html"
