"Val_Type","Val"
"Name","Rachael Coombes"
"Title","Associate Director of Institutional Research"
"Office","Office of Institutional Research"
"Mailing Address","106 Central Street"
"City/State/Zip/Country","Wellesley, MA 02481"
"Phone","781-283-3273"
"E-mail Address","oir@wellesley.edu"
"Name of College/University","Wellesley College"
"Mailing Address","106 Central Street"
"City/State/Zip/Country","Wellesley, MA 02481-8203, USA"
"Main Phone Number","781-283-1000"
"WWW Home Page Address","www.wellesley.edu"
"Admissions Phone Number","781-283-2270"
"Admissions Office Mailing Address","Admission Office, 106 Central Street"
"City/State/Zip/Country","Wellesley, MA 02481-8203, USA"
"Admissions E-mail Address","admission@wellesley.edu"
