"Val_Type","Val"
"Name","Lexi Lewandowski"
"Title","Institutional Data Coordinator"
"Office","Instutional Effectiveness"
"Mailing Address","1501 W. Bradley Avenue"
"City/State/Zip/Country","Peoria, IL 61625"
"Phone","309-677-3395"
"Fax","309-677-3952"
"E-mail Address","datasurvey@bradley.edu"
"https","//www.bradley.edu/offices/academic/institutionaleffectiveness/data/"
"Name of College/University","Bradley University"
"Mailing Address","1501 W. Bradley Avenue"
"City/State/Zip/Country","Peoria, IL 61625"
"Main Phone Number","309-676-7611"
"WWW Home Page Address","www.bradley.edu"
"Admissions Phone Number","309-677-1000"
"Admissions Office Mailing Address","1501 W. Bradley Avenue"
"City/State/Zip/Country","Peoria, IL 61625"
"Admissions Fax Number","309-677-2797"
"Admissions E-mail Address","admissions@bradley.edu"
