"Val_Type","Val"
"Name","Liz Lachance"
"Title","Institutional Research"
"Office","Office of Institutional Research"
"Mailing Address","3690 East Ave."
"City/State/Zip/Country","Rochester, NY 14618"
"Phone","585-385-8410"
"Fax","585-889-3780"
"E-mail Address","llachance@sjfc.edu"
"https","//www.sjfc.edu/services/institutional-research/common-data-set/"
"Name of College/University","St. John Fisher College"
"Mailing Address","3690 East Ave."
"City/State/Zip/Country","Rochester, NY 14618"
"Main Phone Number","585-385-8000"
"WWW Home Page Address","www.sjfc.edu"
"Admissions Phone Number","585-385-8064"
"Admissions Toll-Free Phone Number","1-800-444-4640"
"Admissions Office Mailing Address","3690 East Ave."
"City/State/Zip/Country","Rochester, NY 14618"
"Admissions Fax Number","585-385-8386"
"Admissions E-mail Address","admissions@sjfc.edu"
"https","//www.sjfc.edu/admissions-aid/freshman-admissions/"
