"Val_Type","Val"
"Name","Howard Ballentine"
"Title","Director of Institutional Research and Assessment"
"Office","Office of Institutional Research and Assessment"
"Mailing Address","1460 University Drive"
"City/State/Zip/Country","Wincehster, VA 22601"
"Phone","540-665-4767"
"E-mail Address","hballent@su.edu"
"https","//www.su.edu/departments-offices/institutional-research/common-data-set-cds/"
"Name of College/University","Shenandoah University"
"Mailing Address","1460 University Drive"
"City/State/Zip/Country","Winchester, VA 22601"
"Main Phone Number","800-432-2266"
"WWW Home Page Address","www.su.edu"
"Admissions Phone Number","540-665-4581"
"Admissions Toll-Free Phone Number","800-432-2266"
"Admissions Office Mailing Address","1460 University Drive"
"City/State/Zip/Country","Winchester, VA 22601"
"Admissions E-mail Address","Admit@su.edu"
"https","//www.su.edu/admissions/apply-now/"
