"Val_Type","Val"
"Name","Carolyn Uhl"
"Title","Director of Institutional Effectiveness"
"Office","Office of Institutional Effectiveness"
"Mailing Address","100 Grant Street"
"City/State/Zip/Country","De Pere/Wisconsin/54115/United States"
"Phone","(920) 403-3361"
"E-mail Address","oie@snc.edu"
"https","//www.snc.edu/oie/cds.html"
"Name of College/University","St. Norbert College"
"Mailing Address","100 Grant Street"
"City/State/Zip/Country","De Pere, WI 54115, USA"
"Main Phone Number","(920) 337-3181"
"WWW Home Page Address","http//www.snc.edu"
"Admissions Phone Number","(920) 403-3005"
"Admissions Toll-Free Phone Number","(800) 236-4878"
"Admissions Office Mailing Address","100 Grant Street"
"City/State/Zip/Country","De Pere, WI 54115, USA"
"Admissions Fax Number","(920) 403-4072"
"Admissions E-mail Address","admit@snc.edu"
"https","//sncspirit.org/apply/"
