"Val_Type","Val"
"Name","Julie E. Richardson"
"Title","Registrar"
"Office","Enrollment Services"
"Mailing Address","1215 Wilbraham Road"
"City/State/Zip/Country","Springfield/MA/01119"
"Phone","413-796-2080"
"Fax","413-796-2081"
"E-mail Address","julie.richardson@wne.edu"
"https","//wne.edu/institutional-research/common-data-set.cfm"
"Name of College/University","Western New England University"
"Mailing Address","1215 Wilbraham Road"
"City/State/Zip/Country","Springfield/MA/01119"
"Main Phone Number","413-782-3111"
"WWW Home Page Address","http//www.wne.edu"
"Admissions Phone Number","800-325-1122, ext. 1321"
"Admissions Toll-Free Phone Number","800-325-1122"
"Admissions Office Mailing Address","1215 Wilbraham Road"
"City/State/Zip/Country","Springfield/MA/01119"
"Admissions Fax Number","413-782-1777"
"Admissions E-mail Address","learn@wne.edu"
"https","//wne.edu/admissions/index"
