"Val_Type","Val"
"Name","Ottlie Webb"
"Title","Data Analyst"
"Office","Institutional Data Analytics + Assessment"
"Mailing Address","Ernest C. Young Hall, 155 S Grant St"
"City/State/Zip/Country","West Lafayette, IN 47907"
"Phone","N/A"
"E-mail Address","owebb@purdue.edu"
"Purdue University Common Data Set https","//www.purdue.edu/idata/Products/Data/commonDataSet.php"
"Name of College/University","Purdue University"
"Mailing Address","475 Stadium Drive"
"City/State/Zip/Country","West Lafayette IN 47907-2050"
"Main Phone Number","(765) 494-4600"
"WWW Home Page Address","Purdue University Web site"
"http","//www.purdue.edu"
"Admissions Phone Number","(765) 494-1776"
"Admissions Office Mailing Address","475 Stadium Drive"
"City/State/Zip/Country","West Lafayette IN 47907-2050"
"Admissions Fax Number","(765) 494-0544"
"Admissions E-mail Address","admissions@purdue.edu"
