"Val_Type","Val"
"Name","Rob Marten"
"Title","Research Analyst"
"Office","Institutional Research"
"Mailing Address","P.O. Box 1773"
"City/State/Zip/Country","Carlisle, PA 17013-2896; USA"
"Phone","(717) 245-1030"
"Fax","(717) 245-1110"
"E-mail Address","martenr@dickinson.edu"
"https","//www.dickinson.edu/info/20084/institutional_research/3487/statistics"
"Name of College/University","Dickinson College"
"Mailing Address","P.O. Box 1773"
"City/State/Zip/Country","Carlisle, PA 17013-2896; USA"
"WWW Home Page Address","http//www.dickinson.edu/"
"Admissions Phone Number","(717) 245-1231"
"Admissions Toll-Free Phone Number","(800) 644-1773 (both in-state and out-of-state)"
"Admissions Office Mailing Address","P.O. Box 1773"
"City/State/Zip/Country","Carlisle, PA 17013-2896; USA"
"Admissions Fax Number","(717) 245-1442"
"Admissions E-mail Address","admissions@dickinson.edu"
"https","//www.dickinson.edu/homepage/279/apply"
