"Val_Type","Val"
"Name","Leeshawn Cradoc Moore, Ph.D."
"Title","Director of Institutional Research and Assessment"
"Office","Office of Institutional Research"
"Mailing Address","1050 N. Mills Ave"
"City/State/Zip/Country","Claremont, CA 91711"
"Phone","909-607-7283"
"E-mail Address","ir@pitzer.edu"
"https","//www.pitzer.edu/institutional-research/"
"Name of College/University","Pitzer College"
"Mailing Address","1050 N. Mills Ave"
"City/State/Zip/Country","Claremont, CA 91711"
"Main Phone Number","909-621-8000"
"WWW Home Page Address","www.Pitzer.edu"
"Admissions Phone Number","909-621-8129"
"Admissions Toll-Free Phone Number","800-748-9371"
"Admissions Office Mailing Address","1050 N. Mills Ave"
"City/State/Zip/Country","Claremont, CA 91711"
"Admissions Fax Number","909-621-8770"
"Admissions E-mail Address","Admissions@pitzer.edu"
