"Val_Type","Val"
"Name","Susan Sexton"
"Title","Director of Institutional Reporting"
"Office","Budgets and Planning"
"Mailing Address","300 College Park"
"City/State/Zip/Country","Dayton, OH 45469"
"Phone","937-229-4347"
"E-mail Address","ssexton1@udayton.edu"
"https","//udayton.edu/finadmin/divisions/budget_planning/ir/common_data_set.php"
"Name of College/University","University of Dayton"
"Mailing Address","300 College Park"
"City/State/Zip/Country","Dayton, OH 45469"
"Main Phone Number","937-229-1000"
"WWW Home Page Address","https//udayton.edu/"
"Admissions Phone Number","800-837-7433"
"Admissions Toll-Free Phone Number","800-837-7433"
"Admissions Office Mailing Address","300 College Park"
"City/State/Zip/Country","Dayton, OH 45469"
"Admissions E-mail Address","admission@udayton.edu"
"https","//udayton.edu/apply/undergraduate/index.php"
