"Val_Type","Val"
"Name","Carol Pepin"
"Title","Associate Director"
"Office","Insitutional Research and Planning"
"Mailing Address","140 Commonwealth Avenue"
"City/State/Zip/Country","Chesnut Hill, MA 02467"
"Phone","617-552-8487 (direct) 617-552-3111 (main)"
"Fax","617-552-8238"
"E-mail Address","carol.pepin@bc.edu"
"Name of College/University","Boston College"
"Mailing Address","140 Commonwealth Avenue"
"City/State/Zip/Country","Chestnut Hill/MA/02467/U.S."
"Main Phone Number","617-552-8000"
"WWW Home Page Address","https//www.bc.edu/"
"Admissions Phone Number","617-552-3100"
"Admissions Office Mailing Address","140 Commonwealth Avenue, Devlin 208"
"City/State/Zip/Country","Chestnut Hill, MA 02467"
"Admissions Fax Number","617-552-0798"
"Admissions E-mail Address","bcapplicant@bc.edu"
"http","//www.commonapp.org/school/boston-college"
