"Val_Type","Val"
"Name","Lauren Lynch"
"Title","Student Reporting Manager"
"Office","Institutional Research & Assessment"
"E-mail Address","lauren.lynch@unh.edu"
"https","//www.unh.edu/institutional-research/data-reports/common-data-set"
"Name of College/University","University of New Hampshire"
"City/State/Zip/Country","Durham, NH 03824"
"Main Phone Number","603-862-1234"
"WWW Home Page Address","www.unh.edu"
"Admissions Phone Number","603-862-1360"
"Admissions Office Mailing Address","3 Garrison Avenue"
"City/State/Zip/Country","Durham, NH 03824"
"Admissions Fax Number","603-862-0077"
"Admissions E-mail Address","admissions@unh.edu"
"https","//admissions.unh.edu/apply"
