"Val_Type","Val"
"Name","Brian Erdman, Ph.D."
"Title","Senior Research Associate"
"Office","Institutional Effectuveness"
"Mailing Address","6331 N. Sheridan Rd."
"City/State/Zip/Country","Chicago, IL 60660"
"Phone","773-508-7592"
"Fax","773-508-3102"
"E-mail Address","berdman@luc.edu"
"http","//www.luc.edu/oie"
"Name of College/University","Loyola University Chicago"
"Mailing Address","1032 W. Sheridan Rd."
"City/State/Zip/Country","Chicago, IL 60660"
"Main Phone Number","312-915-6000"
"WWW Home Page Address","http//www.luc.edu/"
"Admissions Phone Number","312-915-6500"
"Admissions Toll-Free Phone Number","1-800-262-2373"
"Admissions Office Mailing Address","820 N. Michigan Avenue"
"City/State/Zip/Country","Chicago, IL 60611-9810"
"Admissions Fax Number","312-915-7216"
"Admissions E-mail Address","admission@luc.edu"
