"Val_Type","Val"
"Name","Kyle Sweitzer"
"Title","Data Resource Analyst"
"Office","Institutional Research"
"Mailing Address","322 Administration Building"
"City/State/Zip/Country","East Lansing, MI 48824"
"Phone","517-432-2160"
"Fax","517-353-3768"
"E-mail Address","kvs@msu.edu"
"https","//opb.msu.edu/functions/institution/cds.html"
"Name of College/University","MICHIGAN STATE UNIVERSITY"
"Mailing Address","426 AUDITORIUM RD"
"City/State/Zip/Country","EAST LANSING MI 48824"
"Main Phone Number","517-355-1855"
"WWW Home Page Address","www.msu.edu"
"Admissions Phone Number","517-355-8332"
"Admissions Office Mailing Address","250 ADMINISTRATION BUILDING"
"City/State/Zip/Country","EAST LANSING MI 48824"
"Admissions Fax Number","517-353-1647"
"Admissions E-mail Address","admis@msu.edu"
"https","//admissions.msu.edu/apply.asp"
