"Val_Type","Val"
"Name","Kelly Scott"
"Title","Research Analyst"
"Office","Instutional Research @ Winthrop University"
"Mailing Address","102 Tillman Hall"
"City/State/Zip/Country","Rock Hill, SC 29732"
"Phone","803-323-4857"
"E-mail Address","scottks@winthrop.edu"
"https","//www.winthrop.edu/institutional-effectiveness/institutional-research/current-common-data-set.aspx"
"Name of College/University","Winthrop University"
"Mailing Address","701 Oakland Ave"
"City/State/Zip/Country","Rock Hill, SC 29733"
"Main Phone Number","803-323-2211"
"WWW Home Page Address","www.winthrop.edu"
"Admissions Phone Number","803-323-2191"
"Admissions Toll-Free Phone Number","800-763-0230"
"Admissions Office Mailing Address","Admissions, Winthrop University"
"City/State/Zip/Country","Rock Hill, SC 29733, US"
"Admissions Fax Number","803-323-2137"
"Admissions E-mail Address","admissions@winthrop.edu"
"https","//www.winthrop.edu/apply-now.aspx"
