"Val_Type","Val"
"Name","Dr. Sean Holden"
"Title","Research Analyst II"
"Office","Office of Institutional Research"
"Mailing Address","211 Admin Building"
"City/State/Zip/Country","Memphis, TN, 38152, USA"
"Phone","901.678.3160"
"E-mail Address","sholden1@memphis.edu"
"https","//www.memphis.edu/oir/external_reporting/index.php"
"Name of College/University","University of Memphis"
"City/State/Zip/Country","Memphis, TN, 38152, USA"
"Main Phone Number","901.678.2000"
"WWW Home Page Address","https//www.memphis.edu/"
"Admissions Phone Number","901.678.2111"
"Admissions Toll-Free Phone Number","800.669.2678"
"Admissions Office Mailing Address","101 Wilder Tower"
"City/State/Zip/Country","Memphis, TN, 38152, USA"
"Admissions E-mail Address","recruitment@memphis.edu"
