"Val_Type","Val"
"Name","Jeffrey Barr"
"Title","Institutional Research Analyst"
"Office","Institutional Research"
"Mailing Address","P.O. Box 173362, Campus Box 51"
"City/State/Zip/Country","Denver, CO 80217"
"Phone","303-615-2075"
"E-mail Address","jbarr14@msudenver.edu"
"https","//www.msudenver.edu/institutional-research/"
"Name of College/University","Metropolitan State University of Denver"
"Mailing Address","P.O Box 173362, Campus Box 16"
"City/State/Zip/Country","Denver, CO 80217"
"Main Phone Number","303-556-3058"
"WWW Home Page Address","http//www.msudenver.edu"
"Admissions Phone Number","303-556-3058"
"Admissions Office Mailing Address","P.O Box 173362, Campus Box 16"
"City/State/Zip/Country","Denver, CO 80217"
"Admissions Fax Number","720-778-5794"
"Admissions E-mail Address","http//www.msudenver.edu/apply/"
