"Val_Type","Val"
"Name","Edmund Melia"
"Title","Director of Institutional Research"
"Office","Dean of Faculty Office"
"Mailing Address","893 West Street"
"City/State/Zip/Country","Amherst, MA 01002"
"Phone","413-559-5890"
"Fax","413-559-6081"
"E-mail Address","emelia@hampshire.edu"
"https","//www.hampshire.edu/dof/common-data-set"
"Name of College/University","Hampshire College"
"Mailing Address","893 West St."
"City/State/Zip/Country","Amherst, MA 01002"
"Main Phone Number","413-549-4600"
"WWW Home Page Address","www.hampshire.edu"
"Admissions Phone Number","413-559-5471"
"Admissions Toll-Free Phone Number","877-937-4267"
"Admissions Office Mailing Address","893 West St."
"City/State/Zip/Country","Amherst, MA 01002"
"Admissions Fax Number","413-559-4631"
"Admissions E-mail Address","admissions@hampshire.edu"
