"Val_Type","Val"
"Name","Libby Barlow"
"Title","Associate Provost for Institutional Research"
"Office","Institutional Research"
"Mailing Address","6230 North Fairbanks, Room 205B"
"City/State/Zip/Country","Hanover, NH 03755"
"Phone","603-646-1247"
"Fax","603-646-0294"
"E-mail Address","institutional.research@dartmouth.edu"
"https","//www.dartmouth.edu/oir/data-reporting/cds/index.html"
"Name of College/University","Dartmouth College"
"Mailing Address","6016 McNutt Hall"
"City/State/Zip/Country","Hanover, NH 03755"
"Main Phone Number","603-646-1110"
"WWW Home Page Address","http//dartmouth.edu/"
"Admissions Phone Number","603-646-2875"
"Admissions Office Mailing Address","6016 McNutt Hall"
"City/State/Zip/Country","Hanover, NH 03755"
"Admissions Fax Number","603-646-1216"
"Admissions E-mail Address","apply@dartmouth.edu"
