"Val_Type","Val"
"Name","Melanie Mabry"
"Title","Institutional Research Analyst"
"Office","GO-19 Early-Fielding"
"Mailing Address","204 W. Washington Street"
"City/State/Zip/Country","Lexington VA 24450 USA"
"Phone","(540) 458-4181"
"Fax","(540) 458-8397"
"E-mail Address","mmabry@wlu.edu"
"http","//www.wlu.edu/institutional-effectiveness/common-data-set"
"Name of College/University","Washington and Lee University"
"Mailing Address","204 W. Washington Street"
"City/State/Zip/Country","Lexington VA 24450"
"Main Phone Number","(540) 458-8400"
"WWW Home Page Address","www.wlu.edu"
"Admissions Phone Number","(540) 458-8710"
"Admissions Office Mailing Address","204 W. Washington Street"
"City/State/Zip/Country","Lexington VA 24450"
"Admissions Fax Number","(540) 458-8062"
"Admissions E-mail Address","admissions@wlu.edu"
"https","//apply.commonapp.org/Login"
