"Val_Type","Val"
"Name","Yesenia Espinal"
"Title","Director of Institutional Research"
"Office","Institutional Research and Assessment"
"Mailing Address","2400 Sixth Street NW"
"City/State/Zip/Country","Washington, DC, 20059, US"
"Phone","(202) 865-0207"
"Fax","(202) 234-2214"
"E-mail Address","yesenia.espinal@howard.edu"
"https","//ira.howard.edu/institutional-research/institutional-data"
"Name of College/University","Howard University"
"Mailing Address","2400 Sixth Street NW"
"City/State/Zip/Country","Washington, DC, 20059, US"
"Main Phone Number","(202) 806-6100"
"WWW Home Page Address","www.howard.edu"
"Admissions Phone Number","(202) 806-2763 or (202) 806-2755"
"Admissions Toll-Free Phone Number","1-800-822-6363"
"Admissions Office Mailing Address","2400 Sixth Street NW, Suite 105"
"City/State/Zip/Country","Washington, DC, 20059, US"
"Admissions Fax Number","(202) 806-4465"
"Admissions E-mail Address","admission@howard.edu"
"https","//www.commonapp.org/explore/howard-university"
