"Val_Type","Val"
"Name","Ramona A Gale"
"Title","Information Research Clerk"
"Office","Institutional Research, Assessment & Data Analytics"
"Mailing Address","Wilson Hall, Room 512, 371 Wilson Blvd"
"City/State/Zip/Country","Rochester, MI 48309-4486"
"Phone","248-370-2387"
"E-mail Address","gale@oakland.edu"
"https","//www.oakland.edu/oira/publications/"
"Name of College/University","Oakland University"
"City/State/Zip/Country","Rochester, MI 48309"
"Street Address (if different)","2200 N. Squirrel Rd"
"City/State/Zip/Country","Rochester, MI 48309"
"Main Phone Number","248-370-2100"
"WWW Home Page Address","www.oakland.edu"
"Admissions Phone Number","248-370-3360"
"Admissions Toll-Free Phone Number","800-OAK-UNIV"
"Admissions Office Mailing Address","North Foundation Hall, Room 101, 318 Meadow Brook"
"City/State/Zip/Country","Rochester, MI 48309-445"
"Admissions E-mail Address","visit@oakland.edu"
"https","//www.oakland.edu/futurestudents/apply/"
