"Val_Type","Val"
"Name","Brent Diekmann"
"Title","Research Analysis Specialist"
"Office","Maxwell Hall 145"
"Mailing Address","175 West Mark Street"
"City/State/Zip/Country","Winona, MN 55987"
"Phone","507-457-5162"
"E-mail Address","bdiekmann@winona.edu"
"https","//www.winona.edu/ipar/common-data-set.asp"
"Name of College/University","Winona Sate University"
"Mailing Address","P.O. Box 5838"
"City/State/Zip/Country","Winona, MN 55987"
"Street Address (if different)","175 W. Mark Street"
"City/State/Zip/Country","Winona, mn 55987"
"Main Phone Number","507-457-5000"
"WWW Home Page Address","https//www.winona.edu/"
"Admissions Phone Number","507-457-5100"
"Admissions Toll-Free Phone Number","800 DIALWSU ext.5100"
"Admissions Office Mailing Address","P.O. Box 5838"
"City/State/Zip/Country","Winona, MN 55987"
"Admissions E-mail Address","admissions@winona.edu"
"https","//www.winona.edu/apply/"
