"Val_Type","Val"
"Name","Brandy Rypma"
"Title","IR Specialist"
"Mailing Address","401A Grace Hall"
"City/State/Zip/Country","Notre Dame, IN 46556 USA"
"Phone","574.631.2848"
"Fax","574.631.9235"
"E-mail Address","instres@nd.edu"
"https","//ospir.nd.edu/institutional-research/common-data-set-cds/common-data-set/"
"Name of College/University","University of Notre Dame"
"City/State/Zip/Country","Notre Dame, IN 46556 USA"
"Main Phone Number","574.631.5000"
"WWW Home Page Address","www.nd.edu"
"Admissions Phone Number","574.631.7505"
"Admissions Office Mailing Address","McKenna Hall"
"City/State/Zip/Country","Notre Dame, IN 46556 USA"
"Admissions Fax Number","574.631.8865"
"Admissions E-mail Address","admissions@nd.edu"
