"Val_Type","Val"
"Name","Carol Sholy"
"Title","Data & Visual Analytics Specialist"
"Office","Office of Institutional Research"
"Mailing Address","5115 Oak Street"
"City/State/Zip/Country","Kansas City, MO 64110"
"Phone","816-235-1045"
"Fax","816-235-5509"
"E-mail Address","surveys@umkc.edu"
"https","//umkc.edu/data/reports/common-data-set.html"
"Name of College/University","University of Missouri - Kansas City"
"Mailing Address","5100 Rockhill Road"
"City/State/Zip/Country","Kansas City, MO 64110"
"Main Phone Number","816-235-1000"
"WWW Home Page Address","http//www.umkc.edu"
"Admissions Phone Number","816-235-8652 (816-235-UMKC)"
"Admissions Toll-Free Phone Number","800-775-8652"
"Admissions Office Mailing Address","5000 Holmes St."
"City/State/Zip/Country","Kansas City, MO 64110"
"Admissions Fax Number","816.235.5544"
"Admissions E-mail Address","admissions@umkc.edu"
"https","//www.umkc.edu/admissions/apply/"
