"Val_Type","Val"
"Name","Scott Briggs"
"Title","Data and Reporting Manager"
"Office","BYU Office of Assessment and Planning"
"Mailing Address","ASB B-356, Brigham Young University"
"City/State/Zip/Country","Provo, UT 84602"
"Phone","801-422-7987"
"E-mail Address","scott.briggs@byu.edu"
"https","//data.byu.edu/common-data-set"
"Name of College/University","Brigham Young University"
"Mailing Address","Brigham Young University, A-209 ASB"
"City/State/Zip/Country","Provo, UT 84602, United States"
"Main Phone Number","801-422-1211"
"WWW Home Page Address","www.byu.edu"
"Admissions Phone Number","801-422-2507"
"Admissions Office Mailing Address","A-153 ASB"
"City/State/Zip/Country","Provo, UT 84602, United States"
"Admissions Fax Number","801-422-0005"
"Admissions E-mail Address","admissions@byu.edu"
"https","//www.besmart.com/"
