"Val_Type","Val"
"First Name","Leah"
"Last Name","Walsh"
"Title","Director of Institutional Research"
"Office","Institutional Effectiveness & Systems Intigration"
"Mailing Address","4380 Main St."
"City","Amherst"
"State","New York"
"Country","United States"
"Zip","14226-3592"
"Area Code","716"
"Phone Number","566-7879"
"E-mail Address","lwalsh1@daemen.edu"
"Name of College/University","Daemen University"
"Mailing Address","4380 Main St."
"City/State/Zip/Country","Amherst, NY 14226-3592"
"Main Phone Area Code","716"
"Main Phone Number","839-3600"
"WWW Home Page Address","www.daemen.edu"
"Admissions Phone Number","716-839-8225"
"Admissions Toll-Free Phone Number","800-462-7652"
"Admissions Office Mailing Address","4380 Main St."
"City","Amherst"
"State","New York"
"Country","United States"
"Zip","14226"
"Admissions Fax Number","716-839-8229"
"Admissions E-mail Address","admissions@daemen.edu"
