"Val_Type","Val"
"Name","Tamra McGrath"
"Title","Statistical and Policy Analyst"
"Office","Institutional Research"
"Mailing Address","1 Avenue of the Arts"
"City/State/Zip/Country","Newport News, VA 23606-3072"
"Phone","757-594-7609"
"E-mail Address","ir@cnu.edu"
"https","//cnu.edu/institutionalresearch/statistics/"
"Name of College/University","Christopher Newport University"
"Mailing Address","1 Avenue of the Arts"
"City/State/Zip/Country","Newport News VA, 23606-3072 USA"
"Main Phone Number","757-594-7000"
"WWW Home Page Address","www.cnu.edu"
"Admissions Phone Number","757-594-7015"
"Admissions Toll-Free Phone Number","1-800-333-4CNU (4268)"
"Admissions Office Mailing Address","1 Avenue of the Arts"
"City/State/Zip/Country","Newport News VA, 23606-3072 USA"
"Admissions Fax Number","757-594-7333"
"Admissions E-mail Address","admit@cnu.edu"
