"Val_Type","Val"
"Name","Judi Reine"
"Title","Research Consultant"
"Office","University Analytics & Institutional Research"
"Mailing Address","PO Box 800"
"City/State/Zip/Country","Warrensburg, MO 64093"
"Phone","660-543-4456"
"Fax","660-543-8389"
"E-mail Address","Reine@ucmo.edu"
"Name of College/University","University of Central Missouri"
"Mailing Address","PO Box 800"
"City/State/Zip/Country","Warrensburg, MO 64093"
"Street Address (if different)","108 W South St"
"City/State/Zip/Country","Warrensburg, MO 64093"
"Main Phone Number","660-543-4111"
"WWW Home Page Address","https//ucmo.edu"
"Admissions Phone Number","660-543-4290"
"Admissions Toll-Free Phone Number","877-SAY-UCMO"
"Admissions Office Mailing Address","Ward Edwards, 1400"
"City/State/Zip/Country","Warrensburg, MO 64093"
"Admissions Fax Number","660-543-8517"
"Admissions E-mail Address","admit@ucmo.edu"
"https","//www.ucmo.edu/recruit"
