"Val_Type","Val"
"Name","Anne Marie Brady"
"Title","Director of Institutional Research"
"Office","Calvert Hall 301"
"Mailing Address","18952 E. Fisher Road"
"City/State/Zip/Country","St. Mary's City, MD 20686 USA"
"Phone","240-895-2103"
"E-mail Address","ambrady@smcm.edu"
"http","//www.smcm.edu/ir/about-st-marys/common-data-set/"
"Name of College/University","St. Mary's College of Maryland"
"Mailing Address","18952 E. Fisher Road"
"City/State/Zip/Country","St. Mary's City, MD 20686"
"Street Address (if different)","47645 College Drive"
"City/State/Zip/Country","St. Mary's City, MD 20686"
"Main Phone Number","240-895-2000"
"WWW Home Page Address","www.smcm.edu"
"Admissions Phone Number","240-895-5000"
"Admissions Toll-Free Phone Number","1-800-492-7181"
"Admissions Office Mailing Address","47645 College Drive"
"City/State/Zip/Country","St. Mary's City, MD 20686"
"Admissions E-mail Address","admissions@smcm.edu"
"https","//www.smcm.edu/admissions/how-to-apply/"
