"Val_Type","Val"
"Name","Miranda N. Martin"
"Title","Director of Institutional Research and Data Services"
"Office","Technology Services"
"Mailing Address","P.O. Box 1000"
"City/State/Zip/Country","Athens, WV 24712"
"Phone","304-384-5967"
"E-mail Address","miranda@concord.edu"
"https","//www.concord.edu/about/institutional-data"
"Name of College/University","Concord University"
"Mailing Address","P.O. Box 1000"
"City/State/Zip/Country","Athens, WV 24712"
"Main Phone Number","1-800-344-6679"
"WWW Home Page Address","www.concord.edu"
"Admissions Phone Number","1-888-384-5249"
"Admissions Toll-Free Phone Number","1-888-384-5249"
"Admissions Office Mailing Address","Concord Universtiy Admissions"
"City/State/Zip/Country","P.O. Box 1000 Athens, WV 24712"
"Admissions Fax Number","304-384-3218"
"Admissions E-mail Address","admissions@concord.edu"
"https","//www.concord.edu/admissions/apply-now"
