"Val_Type","Val"
"Name","Katie Dykes"
"Title","Research Assistant"
"Office","Institutional Research"
"Mailing Address","118 College Dr #5167"
"City/State/Zip/Country","Hattiesburg, Mississippi 39406"
"Phone","601-266-4059"
"E-mail Address","ir@usm.edu"
"Name of College/University","University of Southern Mississippi"
"Mailing Address","118 College Drive"
"City/State/Zip/Country","Hattiesburg, Mississippi 39406"
"Main Phone Number","601-266-5001"
"WWW Home Page Address","www.usm.edu"
"Admissions Phone Number","601-266-1000"
"Admissions Office Mailing Address","118 College Dr #5166"
"City/State/Zip/Country","Hattiesburg, Mississippi 39406"
"Admissions Fax Number","601-266-5148"
"Admissions E-mail Address","admissions@usm.edu"
