"Val_Type","Val"
"Name","Fran Hermanson"
"Title","Executive Director"
"Office","Office of Institutional Research"
"Mailing Address","P.O. Box 641043"
"City/State/Zip/Country","Pullman, WA 99164-1043 USA"
"Phone","(509) 335-4553"
"Fax","(509) 335-7468"
"https","//ir.wsu.edu/common-data-set/"
"Name of College/University","Washington State University"
"Mailing Address","P.O. Box 645910"
"City/State/Zip/Country","Pullman, WA 99164-5910 USA"
"Main Phone Number","(509) 335-3564"
"WWW Home Page Address","https//wsu.edu/"
"Admissions Phone Number","(509) 335-5568"
"Admissions Toll-Free Phone Number","(800) 469-6978"
"Admissions Office Mailing Address","P.O. Box 641067"
"City/State/Zip/Country","Pullman, WA 99164-1067 USA"
"Admissions Fax Number","(5009) 335-4902"
"Admissions E-mail Address","admissions@wsu.edu"
"https","//admission.wsu.edu/apply/"
