"Val_Type","Val"
"First Name","Katie"
"Last Name","Busby"
"Title","Dr."
"Office","Institutional Research, Effectiveness, and Planning"
"Mailing Address","312 Falkner"
"City","University"
"State","MS"
"Country","USA"
"Zip","38677"
"Area Code","662"
"Phone Number","915-7387"
"Fax Area Code","662"
"Fax Phone Number","915-5400"
"E-mail Address","irep@olemiss.edu"
"https","//irep.olemiss.edu/institutional-research/common-data-set/"
"Name of College/University","University of Mississippi"
"Mailing Address","PO Box 1848"
"City/State/Zip/Country","University, MS 38677-1848"
"Main Phone Area Code","662"
"Main Phone Number","915-7211"
"WWW Home Page Address","https//www.olemiss.edu"
"Admissions Phone Number","6629157226"
"Admissions Office Mailing Address","145 Martindale Hall"
"City","University"
"State","Mississippi"
"Country","US"
"Zip","38677"
"Admissions E-mail Address","admissions@olemiss.edu"
"https","//www.olemiss.edu/applynow/"
