"Val_Type","Val"
"Name","Marisa Carlson"
"Title","Director of Assessment & Institutional Research"
"Office","Academic Affairs"
"Mailing Address","300 Fraser Purchase Road"
"City/State/Zip/Country","Latrobe, PA 15650"
"Phone","724-805-2828"
"E-mail Address","marisa.carlson@stvincent.edu"
"Name of College/University","Saint Vincent College"
"Mailing Address","300 Fraser Purchase Road"
"City/State/Zip/Country","Latrobe, PA 15650"
"Main Phone Number","724-532-6600"
"WWW Home Page Address","www.stvincent.edu"
"Admissions Phone Number","724-805-2500"
"Admissions Toll-Free Phone Number","800-782-5549 ext. 2500"
"Admissions Office Mailing Address","300 Fraser Purchase Road"
"City/State/Zip/Country","Latrobe, PA 15650"
"Admissions E-mail Address","admission@stvincent.edu"
