"Val_Type","Val"
"Name","Stephanie Virgo"
"Title","Research Data Analyst"
"Office","Office of Planning, Evaluation & Institutional Research"
"Mailing Address","648 Oak Street, Dept 4654, Hooper Hall 204"
"City/State/Zip/Country","Chattanooga, TN 37403"
"Phone","(423) 425 - 5943"
"Fax","(423) 425 - 2216"
"E-mail Address","stephanie-virgo@utc.edu"
"https","//www.utc.edu/academic-affairs/planning-evaluation-and-institutional-research/factbook"
"Name of College/University","The University of Tennessee at Chattanooga"
"Mailing Address","615 McCallie Ave"
"City/State/Zip/Country","Chattanooga, TN 37403"
"Main Phone Number","(423) 425-4111"
"WWW Home Page Address","www.utc.edu"
"Admissions Phone Number","(423) 425-4662"
"Admissions Toll-Free Phone Number","1-800-UTC-MOCS (1-800-882-6627)"
"Admissions Office Mailing Address","615 McCallie Ave., 101 University Center, Dept 5105"
"City/State/Zip/Country","Chattanooga, TN 37403"
"Admissions Fax Number","(423) 425-4157"
"Admissions E-mail Address","utcmocs@utc.edu"
"https","//webapp.utc.edu/apply/"
