"Val_Type","Val"
"Name","Sue Kwan"
"Title","Director of Enrollment Analytics"
"Office","University Enrollment"
"Mailing Address","1801 Hinman Ave"
"City/State/Zip/Country","Evanston, IL 60208 USA"
"E-mail Address","enrollmentanalytics@northwestern.edu"
"https","//enrollment.northwestern.edu/common-data-set.html"
"Name of College/University","Northwestern University"
"Mailing Address","633 Clark Street"
"City/State/Zip/Country","Evanston, IL 60208"
"Main Phone Number","847-491-3741"
"WWW Home Page Address","https//www.northwestern.edu/"
"Admissions Phone Number","847-491-7271"
"Admissions Office Mailing Address","1801 Hinman Ave"
"City/State/Zip/Country","Evanston, IL 60208 USA"
"Admissions E-mail Address","ug-admission@northwestern.edu"
"https","//admissions.northwestern.edu/apply/index.html"
