"Val_Type","Val"
"Name","Karen Gosselin"
"Title","Assistant Registrar, Operations and Systems"
"Office","Registrar's Office"
"Mailing Address","100 Saint Anselm Drive"
"City/State/Zip/Country","Manchester, NH 03102"
"Phone","603-641-7403"
"Fax","603-656-6297"
"E-mail Address","kgosselin@anselm.edu"
"https","//www.anselm.edu/about/leadership-and-initiatives/institutional-research/facts-figures/common-data-set"
"Name of College/University","Saint Anselm College"
"Mailing Address","100 Saint Anselm Drive"
"City/State/Zip/Country","Manchester, NH 03102"
"Main Phone Number","603-641-7000"
"WWW Home Page Address","https//www.anselm.edu"
"Admissions Phone Number","603-641-7500"
"Admissions Toll-Free Phone Number","888-4-ANSELM"
"Admissions Office Mailing Address","100 Saint Anselm Drive, #1736"
"City/State/Zip/Country","Manchester, NH 03102"
"Admissions Fax Number","603-641-7550"
"Admissions E-mail Address","admission@anselm.edu"
