"Val_Type","Val"
"Name","Damien Allen"
"Title","Associate Director"
"Office","Institutional Research"
"Mailing Address","PO Box 6972 Radford University"
"City/State/Zip/Country","Radford, Virginia 24142"
"Phone","540-831-6030"
"E-mail Address","irpa@radford.edu"
"https","//www.radford.edu/content/institutional-research/home/common-data-set.html"
"Name of College/University","Radford University"
"Mailing Address","801 East Main Street"
"City/State/Zip/Country","Radford, VA 24142"
"Main Phone Number","540-831-5000"
"WWW Home Page Address","https//www.radford.edu"
"Admissions Phone Number","540-831-5371"
"Admissions Office Mailing Address","PO Box 6903"
"City/State/Zip/Country","Radford, VA 24142"
"Admissions Fax Number","540-831-5038"
"Admissions E-mail Address","admissions@radford.edu"
"https","//www.radford.edu/apply"
