"Val_Type","Val"
"Name","Lorrie Morehouse"
"Title","IR Analyst"
"Office","Information Technology"
"Mailing Address","10 Beech Street"
"City/State/Zip/Country","Berea, OH 44017"
"Phone","440-826-2315"
"Fax","440-826-3640"
"E-mail Address","lmorehou@bw.edu"
"https","//www.bw.edu/about/offices/institutional-research-assessment/"
"Name of College/University","Baldwin Wallace University"
"Mailing Address","275 Eastland Road"
"City/State/Zip/Country","Berea, Ohio 44017"
"Main Phone Number","440-826-2900"
"WWW Home Page Address","www.bw.edu"
"Admissions Phone Number","440-826-2222"
"Admissions Toll-Free Phone Number","1-877-bwapply (1-877-292-7759)"
"Admissions Office Mailing Address","275 Eastland Road"
"City/State/Zip/Country","Berea, Ohio 44017"
"Admissions Fax Number","440-826-3830"
"Admissions E-mail Address","admission@bw.edu"
"https","//www.bw.edu/admission/"
