"Val_Type","Val"
"Name","Dr. Yenny Anderson"
"Title","Vice Provost"
"Office","Institutional Research & Strategic Analytics"
"Mailing Address","27 Memorial Drive West"
"City/State/Zip/Country","Bethlehem PA 18015 USA"
"Phone","610-758-5890"
"E-mail Address","oir@lehigh.edu"
"http","//oirsa.lehigh.edu"
"Name of College/University","Lehigh University"
"Mailing Address","27 Memorial Drive West"
"City/State/Zip/Country","Bethlehem PA 18015 USA"
"Main Phone Number","610-758-3000"
"Admissions Phone Number","610-758-3100"
"Admissions Office Mailing Address","Alumni Memorial Building, 27 Memorial Drive West"
"City/State/Zip/Country","Bethlehem PA 18015"
"Admissions Fax Number","610-758-4361"
"Admissions E-mail Address","admissions@lehigh.edu"
