"Val_Type","Val"
"Name","Jaime Babic"
"Title","Registrar and Director of Enrollment Services"
"Office","Provost's Office"
"Mailing Address","One College Drive, Barn 123"
"City/State/Zip/Country","Bennington, VT 05201 USA"
"Phone","802-440-4653"
"E-mail Address","research@bennington.edu"
"Name of College/University","Bennington College"
"Mailing Address","One College Drive"
"City/State/Zip/Country","Bennington, VT 05201 USA"
"Main Phone Number","802-442-5401"
"WWW Home Page Address","www.bennington.edu"
"Admissions Phone Number","802-440-4312"
"Admissions Toll-Free Phone Number","800-833-6845"
"Admissions Office Mailing Address","One College Drive"
"City/State/Zip/Country","Bennington, VT 05201 USA"
"Admissions Fax Number","802-440-4320"
"Admissions E-mail Address","admissions@bennington.edu"
