"Val_Type","Val"
"First Name","Liza"
"Last Name","Farrell"
"Title","Data Analyst"
"Office","Planning, Analytics, Institutional Research & Strategic"
"Mailing Address","6300 Ocean Dr., Unit 5740"
"City","Corpus Christi"
"State","Texas"
"Country","USA"
"Zip","78412"
"Area Code","361"
"Phone Number","825-5989"
"E-mail Address","liza.farrell@tamucc.edu"
"https","//www.tamucc.edu/president/pir/common_data_set.php"
"Name of College/University","Texas A&M University- Corpus Christi"
"Mailing Address","6300 Ocean Dr."
"City/State/Zip/Country","Corpus Christi, TX 78412"
"Main Phone Area Code","361"
"Main Phone Number","825-2648"
"WWW Home Page Address","www.tamucc.edu"
"Admissions Phone Number","361-825-7024"
"Admissions Toll-Free Phone Number","1-800-TAMUCC"
"Admissions Office Mailing Address","6300 Ocean Dr., Unit 5774"
"City","Corpus Christi"
"State","Texas"
"Zip","78412"
"Admissions Fax Number","361-825-5887"
"Admissions E-mail Address","admiss@tamucc.edu"
